Growth pillar,Business Strategy Section,Strategy,Risks,Achievements
International expansion,5.2,Continue to leverage current international territories,Competition (6.2),"Net 47 stores opened outside of Australia during the year including 4 stores in the United Kingdom, 13 stores were opened in France and 29 new stores in the USA. 5 franchise stores were opened during the year"
International expansion,5.2,Leverage the Company's capital in large international markets,Retail environment and general economic conditions (6.3),
International expansion,5.2,"Roll out USA, France and UK territory and investigate other Northern Hemisphere markets",Failure to successfully implement growth strategies (6.4),
International expansion,5.2,Consider franchise partners for selected territories,Availability of appropriately sized sites in good locations,
International expansion,5.2,"Expand into new international markets, targeting one new trial territory per annum",,
Streamline global supply chain,5.3,Streamline and optimise supply base in Asia,Exchange rates (6.5),Over 56% of product was moved through the China warehouse (FY19: 51% through the China and HK warehouses)
Streamline global supply chain,5.3,Optimise air and sea freight whilst maintaining speed to market operating model,Product sourcing or supply chain disruptions,
Streamline global supply chain,5.3,Consider alternative Northern Hemisphere distribution model,,
Enhance existing store performance,5.4,Optimise and improve existing store network,Competition (6.2),Global roll-out of in store piercing service underway
Enhance existing store performance,5.4,Continue to target high traffic shopping precincts,Retail environment and general economic conditions (6.3),We continue to close stores in sub-optimal locations
Enhance existing store performance,5.4,Judicious pricing,Prevailing fashions and consumer preferences may change (6.6),
Brand proliferation,5.5,Continue to leverage online social media to connect with customers and increase brand loyalty,Prevailing fashions and consumer preferences may change (6.6),"Growth in online store for Australia/NZ and opening of online stores in United Kingdom/Europe, South Africa, USA and Singapore"
Brand proliferation,5.5,,Privacy breaches,Increased social media engagement
Lead and pre-empt trends,5.1,Stay on trend with shifts in jewellery and accessory market,Prevailing fashions and consumer preferences may change (6.6),Continued strong performance being testament to an ability to identify trends
