Event,Description,Example Completion:
,,Person X puts Person X's trust in Person Y
oEffect,The effect the event has on others be- sides Person X,is considered trustworthy is believed gains Person X's loyalty
oReact,The reaction of others besides Person X to the event,trusted honored trustworthy
oWant,What others besides Person X may want to do after the event,work with Person X partner with Person X to help Person X
xAttr,How Person X might be described given their part in the event,faithful hopeful trusting
xEffect,The effect that the event would have on Person X,gets relieved stays faithful Is betrayed
xIntent,The reason why X would cause the event,to be trusting his or her help/guidance/advice to be friends
xNeed,What Person X might need to do be- fore the event,to be friends with Person Y to have heard a lot of good things about Per- son Y to get to know Person Y
xReact,The reaction that Person X would have to the event,"trusting safe, not alone understood"
xWant,What Person X may want to do after the event,to rely on Person Y to go into business with Person Y to make sure that their heart feeling is right
