dataset,Original Question,Step-back Question
MuSiQue,at year saw the creation of the region where the county of Hertfordshire isfordshire located? located?,which region is the county of Hert-
MuSiQue,Jan Sindel's was born in what coun-what is Jan Sindel's personal his- try?,tory?
MuSiQue,When was the abolishment of the studio that distributed The Game?,which studio distributed The Game?
MuSiQue,ened the doctrine of philosophy oflosophy of language language from?,What city is the person who broad-who broadened the doctrine of phi-
MuSiQue,ning the world series in 2015 base-series in 2015 baseball? ball created?,When was the baseball team win-which baseball team won the world
StrategyQA,Could the members of The Police perform lawful arrests ?,what can the members of The Police do?
StrategyQA,Would a Monoamine Oxidase candy bar cheer up a depressed friend?,What are the effects of Monoamine Oxidase?
StrategyQA,Would a dog respond to bell before Grey seal?,Would a dog respond to bell before Grey seal?
StrategyQA,Is shrimp scampi definitely free ofwhat is shrimp scampi made of? plastic?,
StrategyQA,Do the anchors on Rede Globo speak Chinese?,What languages do the anchors on Rede Globo speak?
