,Test results,Test results,,,
,electronic colposcopy,,,,
,electronic colposcopy,,Patientswithcervicallesions,,
,electronic colposcopy,TCT,Patientswithcervicallesions,,
,electronic colposcopy,TCT,Patientswithcervicallesions,Patients withnon-cervicallesions,
,+,,Patientswithcervicallesions,Patients withnon-cervicallesions,
,+,-,,Patients withnon-cervicallesions,
,-,,,,
,-,,15,,
,-,+,,,
,-,+,,10,
,+,,5,,
,+,+,5,220,
,-,,,,
,-,,70,,
,-,-,,,
,-,-,,25,
,Total,Total,,,
,Total,Total,10,,
,Total,Total,10,245,
,<image 1>,<image 1>,<image 1>,<image 1>,
,<image 1>,<image 1>,<image 1>,<image 1>,100
,,,,500,
