Dimension Transition,Risk description Carbon pricing: carbon,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Financial impact Earnings and costs:the,Risk management The Group has an ambitious,,,,
Risk Regulatory,"pricing policies vary in each of the jurisdictions so as to incentivise decarbonisation. Organisations pay a price for emissions throughout their value chain. Carbon markets: the development of emissions markets,still largely voluntary, is experiencing an increase in demand and in the prices of carbon emissions allowances to obtain credible reductions.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Group's total emissions footprint in each of the jurisdictions is subject to their carbon pricing.The financial impact stems from the increase in production and distribution costs,and the cost of raw material procurements,in terms of the increase per unit of product.","Sustainability Roadmap which reflects Inditex's strong commitment to progressing towards a low-carbon economy and generating a positive impact in the industry and in society in general.The Group has set itself the goal of net zero greenhouse gas emissions by 2040,science-based decarbonisation targets (SBTs) by 2030,and it is committed to using 100% renewable energy at its own facilities by 2022.",,,,
Transition Risk Legal liability,Lawsuits from emissions and climate damage: a generalisation of lawsuits against companies for their liability in emitting greenhouse gases and the damaging economic and environmental consequences thereof.,"Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Cost: the Group may face lawsuits linked to greenhouse gas emissions and climate change.Their scale and number will vary in accordance with the different emissions pathways.Their probability of occurrence and potential impact will also vary depending on the associated costs (settlement, legal","Inditex's Sustainability Policy establishes that all the Group's activities will be conducted in the most environmentally-friendly way possible, fostering the conservation of biodiversity and the sustainable management of natural resources. We have a solid Compliance System and a robust corporate governance system that ensures compliance with regulations,guidelines and best practices in this connection.",,,,
TransitionRiskTechnological,"Disruptive technologicalinnovation: the pace ofadoption of low-carbontechnologies,and the",Cost: the model explores,Cost: the model explores,Cost: the model explores,Cost: the model explores,Cost: the model explores,Cost: the model explores,Cost: the model explores,Cost: the model explores,"Innovation is an inherent value thatcuts across Inditex's entire businessmodel.Moreover,we collaborate withour suppliers and other organisationsto find innovative solutions that maybe applied throughout the value chainand life cycle of our products.Inditex's Sustainability Innovation Hub is clear evidence that it is seekingto foster the circular economy,contribute to decarbonisation andmaximise environmentally-friendlydevelopment.",,,,
TransitionRiskTechnological,"Disruptive technologicalinnovation: the pace ofadoption of low-carbontechnologies,and the",the cost for the Group of,the cost for the Group of,the cost for the Group of,the cost for the Group of,the cost for the Group of,the cost for the Group of,ipof,ipof,"Innovation is an inherent value thatcuts across Inditex's entire businessmodel.Moreover,we collaborate withour suppliers and other organisationsto find innovative solutions that maybe applied throughout the value chainand life cycle of our products.Inditex's Sustainability Innovation Hub is clear evidence that it is seekingto foster the circular economy,contribute to decarbonisation andmaximise environmentally-friendlydevelopment.",of,of,,
TransitionRiskTechnological,"Disruptive technologicalinnovation: the pace ofadoption of low-carbontechnologies,and the",investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,investing in low-carbontechnologies and seeking,"Innovation is an inherent value thatcuts across Inditex's entire businessmodel.Moreover,we collaborate withour suppliers and other organisationsto find innovative solutions that maybe applied throughout the value chainand life cycle of our products.Inditex's Sustainability Innovation Hub is clear evidence that it is seekingto foster the circular economy,contribute to decarbonisation andmaximise environmentally-friendlydevelopment.",,,,
,resulting'green,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,"Innovation is an inherent value thatcuts across Inditex's entire businessmodel.Moreover,we collaborate withour suppliers and other organisationsto find innovative solutions that maybe applied throughout the value chainand life cycle of our products.Inditex's Sustainability Innovation Hub is clear evidence that it is seekingto foster the circular economy,contribute to decarbonisation andmaximise environmentally-friendlydevelopment.",,,,
,"premium',may affect thecompetitiveness ofcompanies as aconsequence of theimpact in terms ofoperating expenses andthe value of the assets.Investments must seek abalance betweeninnovation andprofitability.",efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,efficiencies in itsoperating anddistribution assets.,"Innovation is an inherent value thatcuts across Inditex's entire businessmodel.Moreover,we collaborate withour suppliers and other organisationsto find innovative solutions that maybe applied throughout the value chainand life cycle of our products.Inditex's Sustainability Innovation Hub is clear evidence that it is seekingto foster the circular economy,contribute to decarbonisation andmaximise environmentally-friendlydevelopment.",,,,
TransitionRiskMarket,Consumers preferencefor sustainability:consumers tend toprefer alternativeproducts and servicesthat are sustainable.Competitors mayemerge who proposeinnovations thattransform demand andthreaten to capturemarket share from theestablished players.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,"The Group's commitment to ourcustomers also implies anticipatingtheir demands in matters such asdiversity,sustainability ortransparency,issues in which wewant to involve them in our effortsand progress.Our Join Life labelidentifies the Group's products thatuse more sustainable raw materialsand more environmentally-friendlymanufacturing processes.By 2022,50% of the Group's products will beJoin Life.",,,,
TransitionRiskMarket,Consumers preferencefor sustainability:consumers tend toprefer alternativeproducts and servicesthat are sustainable.Competitors mayemerge who proposeinnovations thattransform demand andthreaten to capturemarket share from theestablished players.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,Earnings and costs: thedemand impacts areexpressed as the loss ofearnings and/or failure tocomply with growth targets.Investor sentimenttranslates into an increasein the cost of capital and inthe cost of financing.Thevarious emissionspathways will determinethe scale of these impacts.,"The Group's commitment to ourcustomers also implies anticipatingtheir demands in matters such asdiversity,sustainability ortransparency,issues in which wewant to involve them in our effortsand progress.Our Join Life labelidentifies the Group's products thatuse more sustainable raw materialsand more environmentally-friendlymanufacturing processes.By 2022,50% of the Group's products will beJoin Life.",thec,,,
TransitionRiskReputation,Climateactivism andstigmatisation byconsumers: a negativechange in public opiniontowards companies withcarbon-intensiveactivities.Consumer,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Earnings: the impacts ondemand translate intoloss of earnings (orfailure to comply withgrowth targets).Investorsentiment affects thecost of capital and ofservicing debt.The scaleof these impacts ondemand will depend onthe emissions pathway.,Inditex's Sustainability Roadmap wasupdated in 2021 to include moreambitious goals and actions aimed atachieving the long-term goal as alever of transformation.Wecollaborate with all the actors in ourvalue chain and our stakeholders totackle global challenges from aholistic standpoint.,,,,
