Problem,Possible Causes,What To Do
Spilled rinse-aid.,Spilled rinse-aid.,Always wipe up rinse-aid spills immediately.
Stained tub interior,Detergent with colourant may have been used.,Make sure that the detergent has no colourant.
White film on inside surface,Hard water minerals.,"To clean the interior, use a damp sponge with dishwasher detergent and wear rubber gloves. Never use any other cleaner than dishwasher detergent otherwise, it may cause foaming or suds."
There are rust stains on cutlery,The affected items are not corrosion resistant.,Avoid washing items that are not corrosion resistant in the dishwasher.
,A program was not run after dishwasher salt was added. Traces of salt have gotten into the wash cycle.,"Always run a wash program without any crockery after adding salt. Do not select the Turbo function (if present), after adding dishwasher salt."
,The lid of the softer is loose.,Check the softener lid is secure.
Knocking noise in the dishwasher,A spray arm is knocking against an item in a basket,Interrupt the program and rearrange the items which are obstructing the spray arm.
Rattling noise in the dishwasher,Items of crockery are loose in the dishwasher.,Interrupt the program and rearrange the items of crockery.
Knocking noise in the water pipes,This may be caused by on-site installation or the cross-section of the piping.,"This has no influence on the dishwasher function. If in doubt, contact a qualified plumber."
The dishes are not clean,The dishes were not loaded correctly.,"See PART II \Preparing And Loading Dishes\""."""
,The program was not powerful enough.,Select a more intensive program.
