Model,1,2,3,4,5,6
tsv,,,,,,
Validation_Overall_(150),"Test_Overall_(2,426)",Biology_(345),Chemistry_(603),Geography_(565),Math_(505),Physics_(408)
Random_Choice,18.0,21.6,18.3,18.6,26.0,"22.2,22.1"
Frequent_Choice,27.3,24.0,25.8,19.9,26.9,"26.1,22.1"
Large_Multimodal_Models_(LMMs)_Text+_Image_as_Input,OpenFlamingo2-9B_[4],23.3,26.3,27.8,22.9,"30.8,25.1,25.0"
Kosmos2_[47],19.3,26.6,28.4,21.7,29.2,"26.7,28.4"
Fuyu-8B_[6],22.0,25.6,27.8,20.9,30.1,"24.8,25.7"
MiniGPT4-Vicuna-13B_[71],28.7,26.2,23.2,22.1,29.4,"30.1,25.5"
LLaMA-Adapter2-7B_[65],30.7,25.6,27.5,24.9,30.4,"23.0,21.3"
Otter_[26],34.7,24.1,24.6,23.4,27.1,"23.0,21.8"
CogVLM_[55],28.0,25.1,29.3,24.2,28.0,"23.4,21.1"
InstructBLIP-T5-XL_[14],32.7,25.2,27.0,22.1,28.3,"24.4,25.0"
BLIP-2_FLAN-T5-XL_[27],30.7,25.1,26.7,24.4,25.7,"24.0,25.2"
mPLUG-OWL2*_[60],22.7,24.9,27.2,23.9,29.7,"18.8,25.2"
SPHINX*_[73],26.7,-,-,-,-,"-,-"
Qwen-VL-7B_[5],29.3,25.6,27.8,23.1,28.8,"24.6,24.3"
LLaVA-1.5-13B_[34],29.3,25.9,27.2,25.0,28.8,"24.0,24.5"
BLIP-2 FLAN-T5-XL [27],30.7,23.1,26.7,24.4,23.7,24.0
mPLUG-OWL2* [60],22.7,24.9,27.2,23.9,29.7,18.8
SPHINX* [73],26.7,-,-,-,-,-
Qwen-VL-7B [5],29.3,25.6,27.8,23.1,28.8,24.6
LLaVA-1.5-13B [34],29.3,25.9,27.2,25.0,28.8,24.0
InstructBLIP-T5-XXL [14],30.7,27.6,29.0,26.5,31.0,25.5
BLIP-2 FLAN-T5-XXL [27],34.7,27.3,28.4,25.5,29.4,27.5
Qwen-VL-PLUS* [74],37.3,32.8,40.3,27.9,34.7,31.3
Gemini Ultra* [72],48.0,-,-,-,-,-
GPT-4V(ision) (Playground) [46],54.7,48.4,52.2,46.9,44.8,45.0
Llama2 7B [53],34.0,26.7,28.4,21.4,29.7,28.5
FLAN-T5-XXL [12],28.0,26.7,27.8,24.4,27.3,30.7
+ OCR,30.0,26.2,24.6,24.5,27.4,27.9
+ LLaVA Caption,32.7,27.0,25.8,23.9,30.3,29.1
Vicuna-13B [10],23.3,24.7,24.6,22.7,25.0,26.1
+ OCR,30.0,26.5,26.4,24.7,29.0,27.1
+ LLaVA Caption,28.7,26.2,31.3,21.7,28.7,26.7
GPT-4 Text [45],34.7,30.6,29.3,28.0,34.0,27.7
